name,website,email,phone,google_maps_url,address,latitude,longitude,distance_km,rating,user_rating_count,reviews,place_id,source,license_codes,sources
[DEMO] Podere del Sole,https://example.com/podere-del-sole,,+39 000 000 0001,,"Via del Chianti 12, 50022 Greve in Chianti",43.5810,11.3165,0.2,4.9,142,"2025-08-12 · Sample reviewer · 5/5\nSynthetic review text for the Places Finder demo map — imagine a glowing review of an olive grove with a view.","demo:g:001|demo:a:001",agriturismo.it; google_places,CIS DEMO 0001 | IT DEMO 0001,demo.csv
[DEMO] Tenuta Luna Piena,https://example.com/tenuta-luna,,+39 000 000 0002,,"Località Panzano 5, 50022 Greve in Chianti",43.5485,11.3360,3.4,4.8,87,"2025-07-03 · Demo user · 5/5\nDemonstration review text with enough body to show how the popup wraps longer sentences.","demo:g:002|demo:a:002",agriturismo.it; google_places,CIS DEMO 0002 | IT DEMO 0002,demo.csv
[DEMO] Cascina Verde,https://example.com/cascina-verde,,+39 000 000 0003,,"Strada Chiantigiana 44, 50028 Tavarnelle",43.5420,11.2680,6.8,4.7,64,"2025-06-17 · Demo user · 5/5\nRating threshold boundary example.","demo:g:003|demo:a:003",agriturismo.it; google_places,CIS DEMO 0003 | IT DEMO 0003,demo.csv
[DEMO] Villa dei Cipressi,https://example.com/cipressi,,+39 000 000 0004,,"Via delle Rose 9, 53017 Radda in Chianti",43.4920,11.3720,10.5,4.5,38,"2025-05-04 · Demo user · 4/5\nMid-tier rating demonstration.","demo:g:004|demo:a:004",agriturismo.it; google_places,CIS DEMO 0004,demo.csv
[DEMO] La Fattoria di Mezzo,https://example.com/fattoria-mezzo,,+39 000 000 0005,,"Via della Collina 2, 50022 Greve in Chianti",43.5905,11.3010,1.3,4.4,55,"2025-04-19 · Demo user · 4/5\nBorderline blue-tier example.","demo:g:005|demo:a:005",agriturismo.it; google_places,CIS DEMO 0005,demo.csv
[DEMO] Poggio delle Rondini,https://example.com/poggio,,+39 000 000 0006,,"Via Sant'Anna 7, 50020 San Casciano",43.6540,11.1860,15.2,4.8,91,"2025-03-12 · Demo user · 5/5\nGoogle-only source demonstration — leaf icon.",demo:g:006,google_places,,demo.csv
[DEMO] Agriturismo La Quercia,https://example.com/quercia,,+39 000 000 0007,,"Località Pianetto 3, 53011 Castellina",43.4710,11.2820,14.8,4.9,116,"2025-02-27 · Demo user · 5/5\nGoogle-only with high rating.",demo:g:007,google_places,,demo.csv
[DEMO] Casa del Vino,https://example.com/casa-vino,,+39 000 000 0008,,"Via del Vino 18, 50022 Greve in Chianti",43.5720,11.3440,1.9,4.6,42,"2025-01-10 · Demo user · 5/5\nGoogle-only blue-tier.",demo:g:008,google_places,,demo.csv
[DEMO] Il Frantoio Nuovo,https://example.com/frantoio,,+39 000 000 0009,,"Via Vecchia del Frantoio 11, 50028 Tavarnelle",43.5380,11.2350,9.7,4.3,28,"2024-12-08 · Demo user · 4/5\nBelow 4.4 — orange demo.",demo:g:009,google_places,,demo.csv
[DEMO] Tenuta Monterosso,https://example.com/monterosso,,+39 000 000 0010,,"Via Monte 21, 50020 Barberino",43.6780,11.2500,12.4,4.7,73,,demo:g:010,google_places,,demo.csv
[DEMO] Masseria del Ponte,https://example.com/masseria-ponte,,+39 000 000 0011,,"Strada del Ponte 1, 53017 Radda",43.4580,11.3910,12.6,4.8,49,"2025-09-02 · Demo user · 5/5\nagriturismo.it-only source — home icon.",demo:a:011,agriturismo.it,CIS DEMO 0011 | IT DEMO 0011,demo.csv
[DEMO] Agriturismo San Martino,https://example.com/san-martino,,+39 000 000 0012,,"Via San Martino 6, 50022 Greve in Chianti",43.6010,11.2880,2.8,4.6,31,"2025-08-21 · Demo user · 5/5\nagriturismo.it-only blue tier.",demo:a:012,agriturismo.it,CIS DEMO 0012 | IT DEMO 0012,demo.csv
[DEMO] Le Colline d'Oro,https://example.com/colline,,+39 000 000 0013,,"Via delle Colline 14, 50020 San Casciano",43.6305,11.2090,11.4,4.9,67,"2025-07-14 · Demo user · 5/5\nagriturismo.it-only green star example.",demo:a:013,agriturismo.it,CIS DEMO 0013,demo.csv
[DEMO] Antico Casale,https://example.com/casale,,+39 000 000 0014,,"Via dell'Antico Casale 22, 53011 Castellina",43.4640,11.2980,13.9,4.2,18,"2025-06-30 · Demo user · 4/5\nagriturismo.it below 4.4 — orange.",demo:a:014,agriturismo.it,CIS DEMO 0014,demo.csv
[DEMO] Borgo Antico,https://example.com/borgo,,+39 000 000 0015,,"Via del Borgo 3, 50022 Greve in Chianti",43.5835,11.3210,0.6,4.5,44,"2025-05-21 · Demo user · 4/5\nStar icon mid-tier.","demo:g:015|demo:a:015",agriturismo.it; google_places,CIS DEMO 0015,demo.csv
